Oklahoma Native Plant Record	2379-4011
Equilibrium: Jurnal Ekonomi Syariah	2355-0228
Veterinary Quarterly	1875-5941
Journal of Maps	1744-5647
Geodinamica Acta	1778-3593
Indian Journal of Natural Products and Resources	0976-0512
Pesticidi i Fitomedicina	1820-3949
Pediatri?eskaâ Farmakologiâ	1727-5776
Oncology and Therapy	2366-1089
Journal of Integrative Environmental Sciences	1943-8168
Croatian Journal of Food Science and Technology	1847-3466
Al-Jabar: Jurnal Pendidikan Matematika	2086-5872
Educación Médica	1575-1813
Human Remains and Violence	2054-2240
Nefrología	0211-6995
Boletín de la Sociedad Española de Cerámica y Vidrio	0366-3175
Boletín Médico del Hospital Infantil de México	1665-1146
Nefrología (English Edition)	2013-2514
Jurnal Geografi	2085-8167
Pauta Geral	2318-857X
Cardiovascular Innovations and Applications	2009-8782
International Journal on Emerging Mathematics Education	2549-4996
Biovalentia: Biological Research Journal	2477-1392
JAKI (Jurnal Akuntansi dan Keuangan Indonesia)	1829-8494
Jurnal Pendidikan Matematika dan Sains	1410-1866
Jurnal Vokasi Kesehatan	2442-5478
Bahastra	0215-4994
Frontiers in Research Metrics and Analytics	2504-0537
Su?asnì Problemi Ekonomìki ì Pìdpriêmnictvo	2310-5534
Cadernos Brasileiros de Terapia Ocupacional	2526-8910
Aktual?naâ Infektologiâ	2312-413X
Dilemas: Revista de Estudos de Conflito e Controle Social	1983-5922
Revista del Instituto Riva-Agüero	2415-5896
Po?ki	2307-1257
Gastroenterologìa	2308-2097
?asopis Socìal?no-Ekonomì?noï Geografìï	2076-1333
Granì	2077-1800
Annals: Series on engineering sciences (Academy of Romanian Scientists)	2066-6950
Beta: Jurnal Tadris Matematika	2085-5893
Jurnal Akuntansi dan Keuangan	1411-0288
Padjadjaran Journal of Dentistry	1979-0201
JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika)	2540-8984
Polymath: An Interdisciplinary Arts and Sciences Journal	2153-4314
Profetik	1979-2522
International Journal of Metrology and Quality Engineering	2107-6847
Paraguay desde las Ciencias Sociales	2314-1638
Conhecimento Online	2176-8501
Prâksis	2448-1939
Revista Ciências em Saúde	2236-3785
Zdorov?e Rebenka	2224-0551
A Barriguda: Revista Científica	2236-6695
Arquivos do Mudi	1980-959X
Revista Brasileira de Política e Administração da Educação	1678-166X
Journal of Physical Education	2448-2455
International Journal of Active Learning	2528-505X
Dirasat: Jurnal Manajemen dan Pendidikan Islam	2503-3506
Kodifikasia	1907-6371
Rekayasa	0216-6631
Jurisdictie: Jurnal Hukum dan Syariah	2086-7549
Iqtishadia	1979-0724
Ibriez: Jurnal Kependidikan Dasar Islam Berbasis Sains	2548-3447
Delictae: Revista de Estudos Interdisciplinares sobre o Delito	2526-5644
Juridica International	1406-1082
Educação, Ciência e Cultura	1413-7321
Territorial Identity and Development	2537-4850
Jurnal Gramatika: Jurnal Penelitian Pendidikan Bahasa dan Sastra Indonesia	2442-8485
Kanun: Jurnal Ilmu Hukum	0854-5499
Share: Jurnal Ekonomi dan Keuangan Islam	2089-6239
Pharmaceutical Sciences and Research	2407-2354
Jurnal Bioedukatika	2338-6630
Jurnal Endurance	2477-6521
Biospecies	1979-0902
Lingual	2527-6719
Revista Brasileira em Promoção da Saúde	1806-1222
Espaço Aberto	2236-1367
Plant Varieties Studying and Protection	2518-1017
Jurnal Ekonomi dan Bisnis	1411-2280
Ikonomika: Jurnal Ekonomi dan Bisnis Islam	2527-3434
Karen: Karadeniz Ara?t?rmalar? Enstitüsü Dergisi	2458-7680
Business Research Quarterly	2340-9436
Riset Akuntansi dan Keuangan Indonesia	2541-6111
Attarbiyah: Journal of Islamic Culture and Education	2548-6020
Revista Constituição e Garantia de Direitos	1982-310X
Revista de Ciencias Agrícolas	0120-0135
Mìžnarodnij Endokrinologì?nij Žurnal	2224-0721
Neotložnaâ Medicinskaâ Pomo??	2223-9022
Scientiae Educatia	2303-1530
Arabia	2085-644X
Elementary: Islamic Teacher Journal	2355-0155
Urania	0852-4777
Jurnal Aspikom	2087-0442
Jurnal Pariwisata Pesona	1410-7252
Jurnal Akuntansi dan Perpajakan	2338-6010
Jurnal Nomosleca	2443-0927
International Business and Accounting Research Journal	2549-0303
Edutech	0852-1190
Frontiers in Education	2504-284X
Frontiers in Communication	2297-900X
Frontiers in Sociology	2297-7775
Jurnal Civics: Media Kajian Kewarganegaraan	1829-5789
Jurnal Ipteks Terapan	1979-9292
Tyragetia	1857-0240
Jurnal Kimia Mulawarman	1693-5616
Indonesian Journal of Educational Research	2541-2132
Jurnal Akuntansi Indonesia	0216-6747
Empati	2337-375X
Edulib: Journal of Library and Information Science	2089-6549
Jurnal Manajemen Dan Kewirausahaan	2301-9093
EnJourMe	2502-5740
Jurnal Keuangan dan Perbankan	1410-8089
Jurnal Agro	2407-7933
Jurnal Pesona	2356-2080
Jurnal Mercumatika	2548-1819
Psikohumaniora: Jurnal Penelitian Psikologi	2502-9363
Jurnal Ilmu Pemerintahan	2503-4685
Tecnia	2526-2122
Veredas da História	1982-4238
Macabéa	2316-1663
Educativa	2359-2087
Periferia	1984-9540
Aktual?nì Pitannâ Suspìl?nih Nauk ta Istorìï Medicini	2311-9896
Simetris: Jurnal Teknik Mesin, Elektro dan Ilmu Komputer	2252-4983
Telematika	1979-925X
Journal of Engineering and Management in Industrial System	2338-3925
Jurnal Ilmu dan Teknologi Hasil Ternak	1978-0303
Al-Athfal: Jurnal Pendidikan Anak	2477-4189
Jurnal E-DuMath	2356-2064
Ethical Lingua: Journal of Language Teaching and Literature	2355-3448
Multitek Indonesia	1907-6223
Ekuilibrium: Jurnal Ilmiah Bidan Ilmu Ekonomi	1858-165X
Jurnal Capture	2086-308X
Akuisisi	1978-6581
Jurnal Pendidikan Sains Universitas Muhammadiyah Semarang	2339-0786
Vestnik Rossijskogo Universiteta Družby Narodov: Seriâ Sociologiâ	2313-2272
Vestnik Rossijskogo Universiteta Družby Narodov: Seriâ Lingvistika	2312-9182
Vestnik Rossijskogo Universiteta Družby Narodov: Seriâ Meždunarodnye Otnošeniâ	2313-0660
Vestnik Dagestanskogo Gosudarstvennogo Tehni?eskogo Universiteta: Tehni?eskie Nauki	2073-6185
Research Briefs on Information & Communication Technology Evolution	2383-9201
Siriraj Medical Journal	0125-152X
Scientific Bulletin of the Politehnica University of Timi?oara: Transactions on Modern Languages	1583-7467
Agric	0854-9028
Jurnal Handayani: Jurnal Kajian Pendidikan Pra Sekolah dan Pendidikan Dasar	2355-1739
Jurnal Smart	2356-2048
Romanian Journal of Transport Infrastructure	2286-2218
Otoritas: Jurnal Ilmu Pemerintahan	2088-3706
Southwest Respiratory and Critical Care Chronicles	2325-9205
Journal of Rehabilitation Medicine	1650-1977
Naukovì Vìstì Nacìonal?nogo Tehnì?nogo Unìversitetu Ukraïni Kiïvs?kij Polìtehnì?nij Institut	1810-0546
Društvena Istraživanja	1330-0288
Mathematica Æterna	1314-3336
Tuberkulez i Bolezni Lëgkih	2075-1230
Journal of Theoretical and Applied Mechanics	1429-2955
Cosmo	2281-6658
Líbero	1517-3283
Journal Biomedical and Biopharmaceutical Research (BBR)	2182-2360
Malaysian Family Physician	1985-2274
Sri Lanka Journal of Child Health	1391-5452
The Reading Room: A Journal of Special Collections	2375-6101
Ecocycles	2416-2140
Turisti?ko Poslovanje	0354-3099
Dinamika Kerajinan dan Batik: Majalah Ilmiah	2087-4294
Paranoá: Cadernos de Arquitetura e Urbanismo	1677-7395
Caderno de Letras	0102-9576
Lumina	1981-4070
Journal of Engineering Management and Competitiveness	2334-9638
Georesursy	1608-5043
Jurnal Informatika: Jurnal Pengembangan IT	2477-5126
Jurnal Komunikasi	2085-1979
Tímarit um Uppeldi og Menntun	2298-8394
Revista de Educación Inclusiva	1889-4208
Transplantologiâ	2074-0506
Yachana	1390-7778
Panggung	0854-3429
Jurnal Kimia Valensi	2460-6065
Jurnal Idea Hukum	2442-7454
JMPM: Jurnal Matematika dan Pendidikan Matematika	2502-986X
Quaderns de Filologia: Estudis Literaris	1135-4178
Quaderns de Filologia: Estudis Lingüístics	1135-461X
Acta Veterinaria Indonesiana	2337-3202
Research Journal of Life Science	2355-9926
Jurnal Ternak Tropika	1411-6146
Animal Behavior and Cognition	2372-5052
Celt: A Journal of Culture, English Language Teaching & Literature	1412-3320
Sains Medika	2085-1545
Jurnal the Messenger	2086-1559
JAICT (Journal of Applied Information and Communication Technologies)	2541-6340
Komunika	1978-1261
Transformatika	1693-3656
Edulite: Journal of English Education, Literature, and Culture	2477-5304
Journal of ELT Research	2502-292X
Revista Latinoamericana de Estudios sobre Cuerpos, Emociones y Sociedad	1852-8759
Journal of Sedimentary Environments	2447-9462
Enfermería Investiga	2477-9172
Prim@ Facie	1678-2593
Finisterra - Revista Portuguesa de Geografia	0430-5027
Universidad y Salud	2389-7066
Artseduca	2254-0709
Journal of Professional, Continuing, and Online Education	2371-0071
Urban Library Journal	1944-9682
Quaderni di Linguistica e Studi Orientali	2421-7220
Kervan. International Journal of Afro-Asiatic Studies	1825-263X
Planta Tropika Journal of Agro Science	0216-499X
Health Professions Education	2452-3011
Pedagogia: Jurnal Pendidikan	2089-3833
Clinical and Molecular Hepatology	2287-2728
Mediterranean Journal of Infection, Microbes and Antimicrobials	2147-673X
Iconarp International Journal of Architecture and Planning	2147-9380
Cihannüma: Tarih ve Co?rafya Ara?t?rmalar? Dergisi	2149-0678
Gaziantep University Journal of Social Sciences	1303-0094
Anatolian Bryology	2458-8474
Arab Journal of Forensic Sciences & Forensic Medicine	1658-6794
Megatrend Revija	1820-3159
International Journal of Reproductive BioMedicine	2476-3772
Vìsnik Žitomirs?kogo Deržavnogo Tehnologì?nogo Unìversitetu: Tehnì?nì Nauki	1728-4260
Hospital Pharmacology	2334-9492
Revista Espamciencia	1390-597X
Revista Brasileira de Sociologia	2317-8507
Brazilian Journal of African Studies	2448-3915
Revista Política e Planejamento Regional	2358-4556
Podzemni Radovi	0354-2904
International Review	2217-9739
Praxis Medica	0350-8773
JDVI (Journal of General Procedural Dermatology & Venereology Indonesia)	2460-7991
Indonesian Journal of Educational Counseling	2541-2779
Humanus: Jurnal Ilmiah Ilmu-ilmu Humaniora	1410-8062
JEES (Journal of English Educators Society)	2503-3492
Jurnal Pendidikan Matematika	1978-0044
Jurnal Sosial Humaniora	1979-5521
At-Ta'dib	0216-9142
Arid Zone Journal of Engineering, Technology and Environment	2545-5818
TIMS: Acta	1452-9467
Industrija	0350-0373
Glasnik Antropološkog Društva Srbije	1820-7936
Journal of V. N. Karazin Kharkiv National University: Series Medicine	2313-6693
Reunir	2237-3667
International Journal of Coal Science & Technology	2198-7823
International Journal of Biodiversity Science, Ecosystem Services & Management	2151-3740
Cancer Nanotechnology	1868-6966
Advanced Structural and Chemical Imaging	2198-0926
Journal of Mental Health and Human Behaviour	2543-1897
Sportif Bak?? Spor ve E?itim Bilimleri Dergisi	2148-905X
Mu?la Journal of Science and Technology	2149-3596
Bart?n Orman Fakültesi Dergisi	1302-0943
Lectura: Jurnal Pendidikan	2086-4876
Jurnal Manajemen dan Pemasaran Jasa	0216-3780
Elementary School Journal PGSD FIP UNIMED	2407-4934
Jurnal Ilmiah Pertanian	1829-8346
Scientific Pinisi	2476-9568
Jurnal Kesehatan	2086-7751
Miqot: Jurnal Ilmu-ilmu Keislaman	0852-0720
Qanun Medika: Jurnal Kedokteran Fakultas Kedokteran Universitas Muhammadiyah Surabaya	2541-2272
Kritisk Juss	0804-7375
Pustakaloka: Jurnal Kajian Informasi dan Perpustakaan	2085-2118
Economica: Jurnal Ekonomi Islam	2085-9325
Cuadernos de Economía Crítica	2408-400X
BJR|case reports	2055-7159
Managerial Economics	1898-1143
Impact: Journal of Interdisciplinary Teaching & Learning	2325-0232
Advances in Pediatric Research	2385-4529
Disability Studies Quarterly	2159-8371
Central Asian Journal of Medical Science	2413-8681
Asian-Australasian Journal of Animal Sciences	1011-2367
Restorative Dentistry & Endodontics	2234-7658
Analize: Journal of Gender and Feminist Studies	1453-7559
Journal of Management Economics Literature Islamic and Political Sciences: JOMELIPS	2547-9512
Ömer Halisdemir Üniversitesi ?ktisadi ve ?dari Bilimler Fakültesi Dergisi	2564-6931
Uluslararas? Tar?m ve Yaban Hayat? Bilimleri Dergisi	2149-8245
Prosiding HIPKIN JATENG	2549-0311
Intuisi	2086-0803
Premise Journal	2089-3345
Arquivos de Ciências da Saúde	1807-1325
Jurnal Kajian Bimbingan dan Konseling	2503-3417
Baca: Jurnal Dokumentasi dan Informasi	0125-9008
Jurnal Ners	1858-3598
Journal of Nuts	2383-319X
Future Human Image	2311-8822
Educativa	1415-0492
Tabuleiro de Letras	2176-5782
Repères DoRiF	2281-3020
eNeuro	2373-2822
Gra?evinski Materijali i Konstrukcije	2217-8139
Food and Feed Research	2217-5369
Vestnik Moskovskogo Universiteta: Seriâ 18, Sociologiâ i Politologiâ	1029-3736
Pravoprimenenie	2542-1514
Sibirskij Onkologi?eskij Žurnal	1814-4861
Okara: Jurnal Bahasa dan Sastra	1907-624X
Jurnal Penelitian	1829-9903
Fountain of Informatics Journal	2541-4313
Jurnal Ilmiah Agribisnis	1412-4807
Iqtishadia: Jurnal Ekonomi & Perbankan Syariah	2354-7057
Libraria: Jurnal Perpustakaan	2355-0341
Jurnal Wacana Kesehatan	2088-5776
School Education Journal PGSD FIP Unimed	2355-1720
Jurnal Ilmiah Didaktika: Media Ilmiah Pendidikan dan Pengajaran	1411-612X
Jurnal ilmu Komunikasi	1829-6564
Journal of Learning and Teaching in Digital Age	2458-8350
Revista Brasileira de Inovação	1677-2504
Neumann Business Review	2412-3730
Annals of Library and Information Studies	0975-2404
Journal of Mountain Area Research	2518-850X
Market Forces	2309-866X
Turkish Journal of Maritime and Marine Sciences	2564-7016
Medica Innovatica	2278-7526
Digital Zone: Jurnal Teknologi Informasi dan Komunikasi	2086-4884
Jurnal IPTA	2338-8633
Jurnal Ilmiah Islam Futura	1412-1190
Jurnal Pendidikan Edutama	2339-2258
Jurnal Ilmiah Ekonomi dan Bisnis	1829-9822
Indonesian Journal of Islamic Literature and Muslim Society	2528-1194
Limbaj si Context	1857-4149
Advances in Military Technology	1802-2308
Muzeológia a Kultúrne Dedi?stvo	1339-2204
Acta Electrotechnica et Informatica	1335-8243
Acta Montanistica Slovaca	1335-1788
Turkish Journal of Colorectal Disease	2536-4901
Jurnal Perikanan dan Kelautan	2089-3469
Al Tijarah	2460-4089
Jurnal Pustaka Budaya	2355-1186
Candrasangkala: Journal of Education and History	2477-2771
Refleksi Edukatika	2087-9385
Rona Teknik Pertanian	2085-2614
Bìofìzi?nij Vìsnik	2075-3810
Clinical Diabetology	2450-7458
Arterial Hypertension	2449-6170
Investigación Administrativa	1870-6614
Vìsnik Dnìpropetrovs?kogo Unìversitetu: Serìâ Matematika	2312-9557
Biodidaktika: Jurnal Biologi dan Pembelajarannya	1907-087X
Reproductive Medicine and Biology	1445-5781
Business & Management Studies: An International Journal	2148-2586
International Journal of the Cardiovascular Academy	2405-819X
Transplantation Reports	2451-9596
Asian/Pacific Island Nursing Journal	2373-6658
SCRIPTed: A Journal of Law, Technology & Society	1744-2567
Styles of Communication	2065-7943
Makara Hubs-Asia	2355-794X
Indonesian Language Education and Literature	2502-2261
JPBI (Jurnal Pendidikan Biologi Indonesia)	2442-3750
Jurnal Ilmu Sosial Mamangan	2301-8496
Ex Aequo: Revista da Associação Portuguesa de Estudos sobre as Mulheres	0874-5560
Markets, Globalization & Development Review: The Official Journal of the International Society of Markets and Development	2473-4055
Revista Espinhaço	2317-0611
Journal of the Belgian Society of Radiology	2514-8281
Compass: Journal of Learning and Teaching	2044-0081
Indian Journal of Dermatopathology and Diagnostic Dermatology	2349-6029
Brock Education: a Journal of Educational Research and Practice	1183-1189
Acta Stomatologica Naissi	0352-5252
Ekonomski Signali	1452-4457
Boletim de Geografia	2176-4786
Birat Journal of Health Sciences	2542-2758
Creativity and Innovation Journal	2537-5997
Religia	1411-1632
Publisia (Jurnal Ilmu Administrasi Publik)	2541-2515
Mudarrisa: Jurnal Kajian Pendidikan Islam	2085-2061
Jurnal Terapan Manajemen dan Bisnis	2477-5282
Journal the Winners: Economics, Business, Management, and Information System Journal	1412-1212
Alsinatuna	2477-5371
Kapata Arkeologi	1858-4101
Jurnal Penjaminan Mutu	2407-912X
Pythagoras: Jurnal pendidikan Matematika	1978-4538
LaborEst	1973-7688
Aristo	2338-5162
Interação em Psicologia	1981-8076
Revista de Estudios de la Justicia	0718-0853
Revista Internacional Consinter de Direito	2183-6396
GIGAPP Estudios Working Papers	2174-9515
Cuaderno de Notas	2386-8376
Journal of Tourism, Heritage & Services Marketing	2529-1947
Revista Iberoamericana de Bioética	2529-9573
Revista Ingeniería Electrónica, Automática y Comunicaciones	1815-5928
Investigación y Educación en Enfermería	0120-5307
Informatika	1816-0301
Quaderni di Sociologia	0033-4952
Rivista di Estetica	0035-6212
Konselor	1412-9760
Fikrah: Jurnal Ilmu Aqidah dan Studi Keagamaan	2354-6174
Script Journal	2477-1880
Jurnal Pendidikan Fisika dan Keilmuan (JPFK)	2442-8868
Al-Balagh: Jurnal Dakwah dan Komunikasi	2527-5704
UPLanD: Journal of Urban Planning, Landscape & Environmental Design	2531-9906
International Journal of Multiphysics	1750-9548
Revista Internacional de Investigación e Innovación en Didáctica de las Humanidades y las Ciencias	2386-7795
Razón y Palabra	1605-4806
Artefact	2406-3134
"Zbornik Radova: Elektrotehni?ki Institut ""Nikola Tesla"""	0350-8528
Reciklaža i Održivi Razvoj	1820-7480
Personnel Assessment and Decisions	2377-8822
Jurnal Pendidikan Sekolah Dasar	2503-0558
Jurnal Pendidikan dan Kajian Seni	2503-4626
Revista de Análisis Turístico	1885-2564
Vitruvio: International Journal of Architectural Technology and Sustainability	2444-9091
Journal of Health and Social Sciences	2499-2240
Quaderns de Filosofia	2341-1414
Medical Journal of The Islamic Republic of Iran	1016-1430
Journal of Mining and Metallurgy. Section A: Mining	1450-5959
Nau?no-Pedagogi?eskoe Obozrenie	2307-6127
Lingua	1829-9342
IJCCS (Indonesian Journal of Computing and Cybernetics Systems)	1978-1520
Islamiconomic: Jurnal Ekonomi Islam	2085-3696
Jurnal Pengembangan Kota	2337-7062
Jurnal Biota	2528-262X
Volt: Jurnal Ilmiah Pendidikan Teknik Elektro	2528-5688
Jurnal Teknologi Industri Pertanian	2252-3901
Gravity: Jurnal Ilmiah Penelitian dan Pembelajaran Fisika	2442-515X
