Title20;ISO_ABBREV;TITLE;ISSN
PHIL MAG LETT;Philos. Mag. Lett.;PHILOSOPHICAL MAGAZINE LETTERS;0950-0839
PHILOS SCI;Philos. Sci.;PHILOSOPHY OF SCIENCE;0031-8248
PHOTOGRAMM ENG REM S;Photogramm. Eng. Remote Sens.;PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING;0099-1112
PHYS CHEM EARTH;Phys. Chem. Earth;PHYSICS AND CHEMISTRY OF THE EARTH;1474-7065
WATER AIR SOIL POLL;Water Air Soil Pollut.;WATER AIR AND SOIL POLLUTION;0049-6979
WATER RES;Water Res.;WATER RESEARCH;0043-1354
WATER RESOUR RES;Water Resour. Res.;WATER RESOURCES RESEARCH;0043-1397
WAVE MOTION;Wave Motion;WAVE MOTION;0165-2125
WEAR;Wear;WEAR;0043-1648
WEATHER CLIM SOC;Weather Clim. Soc.;Weather Climate and Society;1948-8327
WEED BIOL MANAG;Weed Biol. Manag.;WEED BIOLOGY AND MANAGEMENT;1444-6162
WEED RES;Weed Res.;WEED RESEARCH;0043-1737
WEST N AM NATURALIST;West. North Am. Naturalist;WESTERN NORTH AMERICAN NATURALIST;1527-0904
WEST N AM NATURALIST;West. North Am. Naturalist;WESTERN NORTH AMERICAN NATURALIST;1527-0904
WILDLIFE SOC B;Wildl. Soc. Bull.;WILDLIFE SOCIETY BULLETIN;1938-5463
WILLDENOWIA;Willdenowia;Willdenowia;0511-9618
WIRES DATA MIN KNOWL;Wiley Interdiscip. Rev.-Data Mining Knowl. Discov.;Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery;1942-4787
WIRES DEV BIOL;Wiley Interdiscip. Rev.-Dev. Biol.;Wiley Interdisciplinary Reviews-Developmental Biology;1759-7684
WIRES NANOMED NANOBI;Wiley Interdiscip. Rev.-Nanomed. Nanobiotechnol.;Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology;1939-5116
NAT HAZARDS REV;Nat. Hazards Rev.;Natural Hazards Review;1527-6988
NAT IMMUNOL;Nat. Immunol.;NATURE IMMUNOLOGY;1529-2908
NAT PHOTONICS;Nat. Photonics;Nature Photonics;1749-4885
NAT PLANTS;Nat. Plants;Nature Plants;2055-026X
NAT REV CANCER;Nat. Rev. Cancer;NATURE REVIEWS CANCER;1474-175X
NAT REV DIS PRIMERS;Nat. Rev. Dis. Primers;Nature Reviews Disease Primers;2056-676X
NAT REV GENET;Nat. Rev. Genet.;NATURE REVIEWS GENETICS;1471-0056
NAT REV NEUROSCI;Nat. Rev. Neurosci.;NATURE REVIEWS NEUROSCIENCE;1471-003X
NATL SCI REV;Natl. Sci. Rev.;National Science Review;2095-5138
NAUTILUS;Nautilus;NAUTILUS;0028-1344
NAV ENG J;Nav. Eng. J.;NAVAL ENGINEERS JOURNAL;0028-1425
NAVIGATION-US;Navigation;Navigation-Journal of the Institute of Navigation;0028-1522
NEPHROL DIAL TRANSPL;Nephrol. Dial. Transplant.;NEPHROLOGY DIALYSIS TRANSPLANTATION;0931-0509
NEPHROL NURS J;Nephrol. Nurs. J.;Nephrology Nursing Journal;1526-744X
NEPHROL THER;Nephrol. Ther.;Nephrologie & Therapeutique;1769-7255
NEPHROLOGY;Nephrology;NEPHROLOGY;1320-5358
NETH HEART J;Neth. Heart J.;Netherlands Heart Journal;1568-5888
NETWORK-COMP NEURAL;Netw.-Comput. Neural Syst.;NETWORK-COMPUTATION IN NEURAL SYSTEMS;0954-898X
NEURAL COMPUT APPL;Neural Comput. Appl.;NEURAL COMPUTING & APPLICATIONS;0941-0643
NEURAL NETWORKS;Neural Netw.;NEURAL NETWORKS;0893-6080
NEUROCHEM RES;Neurochem. Res.;NEUROCHEMICAL RESEARCH;0364-3190
NEUROETHICS-NETH;Neuroethics;Neuroethics;1874-5490
NEUROGASTROENT MOTIL;Neurogastroenterol. Motil.;NEUROGASTROENTEROLOGY AND MOTILITY;1350-1925
NEUROIMAG CLIN N AM;Neuroimaging Clin. N. Am.;NEUROIMAGING CLINICS OF NORTH AMERICA;1052-5149
SOUTHWEST NAT;Southw. Natural.;SOUTHWESTERN NATURALIST;0038-4909
SPAT STAT-NETH;Spat. Stat.;Spatial Statistics;2211-6753
WOOD SCI TECHNOL;Wood Sci. Technol.;WOOD SCIENCE AND TECHNOLOGY;0043-7719
WORLD J CLIN CASES;World J. Clin. Cases;World Journal of Clinical Cases;2307-8960
WORLD J GASTRO ONCOL;World J. Gastrointest. Oncol.;World Journal of Gastrointestinal Oncology;1948-5204
WORLD MYCOTOXIN J;World Mycotoxin J.;World Mycotoxin Journal;1875-0710
WORLD MYCOTOXIN J;World Mycotoxin J.;World Mycotoxin Journal;1875-0710
WORLD WIDE WEB;World Wide Web;WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS;1386-145X
WORLDV EVID-BASED NU;Worldviews Evid.-Based Nurs.;Worldviews on Evidence-Based Nursing;1545-102X
WOUNDS;Wounds-Compend. Clin. Res. Pract.;WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE;1044-7946
XENOTRANSPLANTATION;Xenotransplantation;XENOTRANSPLANTATION;0908-665X
PHYS EARTH PLANET IN;Phys. Earth Planet. Inter.;PHYSICS OF THE EARTH AND PLANETARY INTERIORS;0031-9201
PHYS GEOGR;Phys. Geogr.;PHYSICAL GEOGRAPHY;0272-3646
PHYS MED BIOL;Phys. Med. Biol.;PHYSICS IN MEDICINE AND BIOLOGY;0031-9155
PHYS MESOMECH;Phys. Mesomech.;Physical Mesomechanics;1029-9599
PHYS PLASMAS;Phys. Plasmas;PHYSICS OF PLASMAS;1070-664X
PHYS SCRIPTA;Phys. Scr.;PHYSICA SCRIPTA;0031-8949
PHYS STATUS SOLIDI B;Phys. Status Solidi B-Basic Solid State Phys.;PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS;0370-1972
PHYS TEACH;Phys. Teach.;PHYSICS TEACHER;0031-921X
PHYSICA C;Physica C;PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS;0921-4534
PHYSICA D;Physica D;PHYSICA D-NONLINEAR PHENOMENA;0167-2789
PHYSIOL BIOCHEM ZOOL;Physiol. Biochem. Zool.;PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY;1522-2152
PHYSIOL BIOCHEM ZOOL;Physiol. Biochem. Zool.;PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY;1522-2152
PHYSIOL GENOMICS;Physiol. Genomics;PHYSIOLOGICAL GENOMICS;1094-8341
PHYSIOL MEAS;Physiol. Meas.;PHYSIOLOGICAL MEASUREMENT;0967-3334
PHYSIOL REV;Physiol. Rev.;PHYSIOLOGICAL REVIEWS;0031-9333
PHYTOCHEM ANALYSIS;Phytochem. Anal.;PHYTOCHEMICAL ANALYSIS;0958-0344
PHYTOCHEMISTRY;Phytochemistry;PHYTOCHEMISTRY;0031-9422
SPECTROSCOPY-US;Spectroscopy;SPECTROSCOPY;0887-6703
SPEECH COMMUN;Speech Commun.;SPEECH COMMUNICATION;0167-6393
SPINE;SPINE;SPINE;0362-2436
SPORT PSYCHOL;Sport Psychol.;SPORT PSYCHOLOGIST;0888-4781
SPORTVERLETZ SPORTSC;Sportverletz. Sportschaden;SPORTVERLETZUNG-SPORTSCHADEN;0932-0555
STAT BIOPHARM RES;Stat. Biopharm. Res.;Statistics in Biopharmaceutical Research;1946-6315
STAT MED;Stat. Med.;STATISTICS IN MEDICINE;0277-6715
STEM CELL REP;Stem Cell Rep.;Stem Cell Reports;2213-6711
STEM CELL RES;Stem Cell Res.;Stem Cell Research;1873-5061
STEM CELL RES THER;Stem Cell Res. Ther.;Stem Cell Research & Therapy;1757-6512
STEM CELL RES THER;Stem Cell Res. Ther.;Stem Cell Research & Therapy;1757-6512
STEM CELLS;Stem Cells;STEM CELLS;1066-5099
STEREOT FUNCT NEUROS;Stereotact. Funct. Neurosurg.;STEREOTACTIC AND FUNCTIONAL NEUROSURGERY;1011-6125
STRATIGRAPHY;Stratigraphy;Stratigraphy;1547-139X
STRESS;Stress;STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS;1025-3890
STROKE;Stroke;STROKE;0039-2499
STRUCT CHEM;Struct. Chem.;STRUCTURAL CHEMISTRY;1040-0400
STRUCT CHEM;Struct. Chem.;STRUCTURAL CHEMISTRY;1040-0400
STRUCT CONTROL HLTH;Struct. Control. Health Monit.;Structural Control & Health Monitoring;1545-2255
STRUCT CONTROL HLTH;Struct. Control. Health Monit.;Structural Control & Health Monitoring;1545-2255
STRUCT DES TALL SPEC;Struct. Des. Tall Spec. Build.;STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS;1541-7794
STRUCT ENG MECH;Struct. Eng. Mech.;STRUCTURAL ENGINEERING AND MECHANICS;1225-4568
STRUCT HEALTH MONIT;Struct. Health Monit.;STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL;1475-9217
STUD CONSERV;Stud. Conserv.;STUDIES IN CONSERVATION;0039-3630
NEUROL RES;Neurol. Res.;NEUROLOGICAL RESEARCH;0161-6412
NEUROMODULATION;Neuromodulation;NEUROMODULATION;1094-7159
NEUROPATH APPL NEURO;Neuropathol. Appl. Neurobiol.;NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY;0305-1846
NEUROPATH APPL NEURO;Neuropathol. Appl. Neurobiol.;NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY;0305-1846
PHYTOPATHOL MEDITERR;Phytopathol. Mediterr.;PHYTOPATHOLOGIA MEDITERRANEA;0031-9465
PIGM RESIN TECHNOL;Pigm. Resin. Technol.;Pigment & Resin Technology;0369-9420
PLANKTON BENTHOS RES;Plankton Benthos Res.;Plankton & Benthos Research;1880-8247
PLANT BREEDING;Plant Breed.;PLANT BREEDING;0179-9541
PLANT BREEDING;Plant Breed.;PLANT BREEDING;0179-9541
PLANT DIS;PLANT DIS.;PLANT DISEASE;0191-2917
PLANT METHODS;Plant Methods;Plant Methods;1746-4811
PLANT PATHOL;Plant Pathol.;PLANT PATHOLOGY;0032-0862
PLANT PHYSIOL;Plant Physiol.;PLANT PHYSIOLOGY;0032-0889
PLANT PHYSIOL BIOCH;Plant Physiol. Biochem.;PLANT PHYSIOLOGY AND BIOCHEMISTRY;0981-9428
PLANT PROTECT SCI;Plant Prot. Sci.;PLANT PROTECTION SCIENCE;1212-2580
PLANT REPROD;Plant Reprod.;Plant Reproduction;2194-7953
PLANT SOIL;Plant Soil;PLANT AND SOIL;0032-079X
PLANT SPEC BIOL;Plant Spec. Biol.;PLANT SPECIES BIOLOGY;0913-557X
PLANTA MED;Planta Med.;PLANTA MEDICA;0032-0943
PLANTA MED;Planta Med.;PLANTA MEDICA;0032-0943
Z KRIST-CRYST MATER;Z. Krist.-Cryst. Mater.;Zeitschrift fur Kristallographie-Crystalline Materials;2194-4946
Z PSYCHOSOM MED PSYC;Z. Psychosom. Med. Psychother.;ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE;1438-3608
ZAMM-Z ANGEW MATH ME;ZAMM-Z. Angew. Math. Mech.;ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik;0044-2267
ZKG INT;ZKG Int.;ZKG INTERNATIONAL;0949-0205
ZOOL MIDDLE EAST;Zool. Middle East;ZOOLOGY IN THE MIDDLE EAST;0939-7140
ZOOL SCI;Zool. Sci.;ZOOLOGICAL SCIENCE;0289-0003
ZOOL ZH;Zool. Zhurnal;ZOOLOGICHESKY ZHURNAL;0044-5134
ZOOMORPHOLOGY;Zoomorphology;ZOOMORPHOLOGY;0720-213X
ZOOSYSTEMA;Zoosystema;ZOOSYSTEMA;1280-9551
PLANTA MED;Planta Med.;PLANTA MEDICA;0032-0943
PLASMA CHEM PLASMA P;Plasma Chem. Plasma Process.;PLASMA CHEMISTRY AND PLASMA PROCESSING;0272-4324
PLASMA CHEM PLASMA P;Plasma Chem. Plasma Process.;PLASMA CHEMISTRY AND PLASMA PROCESSING;0272-4324
PLASMA PROCESS POLYM;Plasma Process. Polym.;Plasma Processes and Polymers;1612-8850
PLAST RUBBER COMPOS;Plast. Rubber Compos.;PLASTICS RUBBER AND COMPOSITES;1465-8011
PLAST SURG-CHIR PLAS;Plast. Surg.;Plastic Surgery;2292-5503
NEUROPEDIATRICS;Neuropediatrics;NEUROPEDIATRICS;0174-304X
NEUROPHOTONICS;Neurophotonics;Neurophotonics;2329-423X
NEUROPSYCHOLOGIA;Neuropsychologia;NEUROPSYCHOLOGIA;0028-3932
NEUROPSYCHOPHARMACOL;Neuropsychopharmacology;NEUROPSYCHOPHARMACOLOGY;0893-133X
NEUROREHABILITATION;Neurorehabilitation;NEUROREHABILITATION;1053-8135
NEUROSCI BIOBEHAV R;Neurosci. Biobehav. Rev.;NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS;0149-7634
NEUROSCIENCE;Neuroscience;NEUROSCIENCE;0306-4522
NEUROSCIENTIST;Neuroscientist;NEUROSCIENTIST;1073-8584
NEW ASTRON;New Astron.;NEW ASTRONOMY;1384-1076
NEW MEDIT;New Medit;New Medit;1594-5685
NEW MICROBIOL;New Microbiol.;New Microbiologica;1121-7138
NEXUS NETW J;Nexus Netw. J.;Nexus Network Journal;1590-5896
NIHON REOROJI GAKK;Nihon Reoroji Gakkaishi;NIHON REOROJI GAKKAISHI;0387-1533
NITRIC OXIDE-BIOL CH;Nitric Oxide-Biol. Chem.;NITRIC OXIDE-BIOLOGY AND CHEMISTRY;1089-8603
NOISE CONTROL ENG J;Noise Control Eng. J.;NOISE CONTROL ENGINEERING JOURNAL;0736-2501
NONDESTRUCT TEST EVA;Nondestruct. Test. Eval.;Nondestructive Testing and Evaluation;1058-9759
NONLINEAR ANAL-HYBRI;Nonlinear Anal.-Hybrid Syst.;Nonlinear Analysis-Hybrid Systems;1751-570X
NORD J BOT;Nord. J. Bot.;NORDIC JOURNAL OF BOTANY;0107-055X
NORTHEAST NAT;Northeast. Nat;NORTHEASTERN NATURALIST;1092-6194
STUD MATH;Studia Math.;STUDIA MATHEMATICA;0039-3223
PLATELETS;Platelets;PLATELETS;0953-7104
PLATELETS;Platelets;PLATELETS;0953-7104
PLOS BIOL;PLoS. Biol.;PLOS BIOLOGY;1545-7885
PLOS GENET;PLoS Genet.;PLoS Genetics;1553-7404
PLOS PATHOG;PLoS Pathog.;PLoS Pathogens;1553-7366
PM&R;PM&R;PM&R;1934-1482
POL J ECOL;Pol. J. Ecol.;POLISH JOURNAL OF ECOLOGY;1505-2249
POL J FOOD NUTR SCI;Pol. J. food Nutr. Sci.;POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES;1230-0322
POL POLAR RES;Pol. Polar. Res.;POLISH POLAR RESEARCH;0138-0338
POLAR REC;POLAR REC.;POLAR RECORD;0032-2474
POLAR RES;Polar Res.;POLAR RESEARCH;0800-0395
POLYM COMPOSITE;Polym. Compos.;POLYMER COMPOSITES;0272-8397
POLYM SCI SER C+;Polym. Sci. Ser. C;POLYMER SCIENCE SERIES C;1811-2382
POPUL ECOL;Popul. Ecol.;POPULATION ECOLOGY;1438-3896
PORT MATH;Port Math.;Portugaliae Mathematica;0032-5155
PORT MATH;Port Math.;Portugaliae Mathematica;0032-5155
POSTEP DERM ALERGOL;Postep. Dermatol. Alergol.;Postepy Dermatologii i Alergologii;1642-395X
POTATO RES;Potato Res.;POTATO RESEARCH;0014-3065
PREP BIOCHEM BIOTECH;Prep. Biochem. Biotechnol.;PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY;1082-6068
PROBABILIST ENG MECH;Probab. Eng. Eng. Mech.;PROBABILISTIC ENGINEERING MECHANICS;0266-8920
SURF COAT TECH;Surf. Coat. Technol.;SURFACE & COATINGS TECHNOLOGY;0257-8972
SURF INNOV;Surf. Innov.;Surface Innovations;2050-6252
SURF INTERFACE ANAL;Surf. Interface Anal.;SURFACE AND INTERFACE ANALYSIS;0142-2421
SURF SCI;Surf. Sci.;SURFACE SCIENCE;0039-6028
SURF SCI;Surf. Sci.;SURFACE SCIENCE;0039-6028
SURG INFECT;Surg. Infect.;Surgical Infections;1096-2964
SURG RADIOL ANAT;Surg. Radiol. Anat.;SURGICAL AND RADIOLOGIC ANATOMY;0930-1038
SURV GEOPHYS;Surv. Geophys.;SURVEYS IN GEOPHYSICS;0169-3298
SWARM EVOL COMPUT;Swarm Evol. Comput.;Swarm and Evolutionary Computation;2210-6502
SWED DENT J;Swed. Dent. J.;SWEDISH DENTAL JOURNAL;0347-9994
SWISS J PALAEONTOL;Swiss J. Palaeontol.;Swiss Journal of Palaeontology;1664-2376
SYMMETRY INTEGR GEOM;Symmetry Integr. Geom.;Symmetry Integrability and Geometry-Methods and Applications;1815-0659
SYNTH REACT INORG M;Synth. React. Inorg. Met.-Org. Nano-Metal Chem.;Synthesis and Reactivity in Inorganic Metal-Organic and Nano-Metal Chemistry;1553-3174
SYNTHETIC MET;Synth. Met.;SYNTHETIC METALS;0379-6779
SYST APPL MICROBIOL;Syst. Appl. Microbiol.;SYSTEMATIC AND APPLIED MICROBIOLOGY;0723-2020
SYST BIODIVERS;Syst. Biodivers.;SYSTEMATICS AND BIODIVERSITY;1477-2000
SYST CONTROL LETT;Syst. Control Lett.;SYSTEMS & CONTROL LETTERS;0167-6911
T AM ENTOMOL SOC;Trans. Am. Entomol. Soc.;TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY;0002-8320
T FAMENA;Trans. FAMENA;Transactions of FAMENA;1333-1124
T INDIAN CERAM SOC;Trans. Indian Ceram. Soc.;Transactions of the Indian Ceramic Society;0371-750X
TAIWAN J MATH;Taiwan. J. Math.;TAIWANESE JOURNAL OF MATHEMATICS;1027-5487
TARIM BILIM DERG;Tarim Bilim. Derg.;Tarim Bilimleri Dergisi-Journal of Agricultural Sciences;1300-7580
NPJ COMPUT MATER;npj Comput. Mater.;npj Computational Materials;2057-3960
NPJ PRIM CARE RESP M;npj Prim. Care Respir. Med.;npj Primary Care Respiratory Medicine;2055-1010
NPJ PRIM CARE RESP M;npj Prim. Care Respir. Med.;npj Primary Care Respiratory Medicine;2055-1010
PROCESS SAF ENVIRON;Process Saf. Environ. Protect.;PROCESS SAFETY AND ENVIRONMENTAL PROTECTION;0957-5820
PROG BIOCHEM BIOPHYS;Prog. Biochem. Biophys.;PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS;1000-3282
PROG ELECTROMAGN RES;Prog. Electromagn. Res.;Progress in Electromagnetics Research-PIER;1559-8985
PROG ELECTROMAGN RES;Prog. Electromagn. Res.;Progress in Electromagnetics Research-PIER;1559-8985
PROG ENERG COMBUST;Prog. Energy Combust. Sci.;PROGRESS IN ENERGY AND COMBUSTION SCIENCE;0360-1285
PROG NEURO-PSYCHOPH;Prog. Neuro-Psychopharmacol. Biol. Psychiatry;PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY;0278-5846
PROG SURF SCI;Prog. Surf. Sci.;PROGRESS IN SURFACE SCIENCE;0079-6816
PROG TUMOR RES;Prog. Tumor Res.;Progress in Tumor Research;0079-6263
PROSTHET ORTHOT INT;Prosthet. Orthot. Int.;PROSTHETICS AND ORTHOTICS INTERNATIONAL;0309-3646
PSYCHIAT CLIN NEUROS;Psychiatry Clin. Neurosci.;PSYCHIATRY AND CLINICAL NEUROSCIENCES;1323-1316
PSYCHIAT RES-NEUROIM;Psychiatry Res. Neuroimaging;PSYCHIATRY RESEARCH-NEUROIMAGING;0925-4927
NUCLEIC ACID THER;Nucl. Acid Ther.;Nucleic Acid Therapeutics;2159-3337
NUMER METH PART D E;Numer. Meth. Part Differ. Equ.;NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS;0749-159X
NURS CLIN N AM;Nurs. Clin. North Am.;NURSING CLINICS OF NORTH AMERICA;0029-6465
NURS ECON;Nurs. Econ.;NURSING ECONOMICS;0746-1739
OBES RES CLIN PRACT;Obes. Res. Clin. Pract.;Obesity Research & Clinical Practice;1871-403X
OBSTET GYN CLIN N AM;Obstet. Gynecol. Clin. N. Am.;OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA;0889-8545
OCEAN COAST MANAGE;Ocean Coastal Manage.;OCEAN & COASTAL MANAGEMENT;0964-5691
OCHR SR;Ochr. Sr.;Ochrona Srodowiska;1230-6169
OFIOLITI;Ofioliti;OFIOLITI;0391-2612
OIL GAS SCI TECHNOL;Oil Gas Sci. Technol.;Oil & Gas Science and Technology-Revue d IFP Energies nouvelles;1294-4475
ONCOGENE;Oncogene;ONCOGENE;0950-9232
ONCOGENE;Oncogene;ONCOGENE;0950-9232
ONCOL LETT;Oncol. Lett.;Oncology Letters;1792-1074
ONCOL NURS FORUM;Oncol. Nurs. Forum;ONCOLOGY NURSING FORUM;0190-535X
OPEN GEOSCI;Open Geosci.;Open Geosciences;2391-5447
OPER NEUROSURG;Oper. Neurosurg.;Operative Neurosurgery;2332-4252
OPER ORTHOP TRAUMATO;Oper. Orthopade Traumatol.;Operative Orthopadie und Traumatologie;0934-6694
TECHNOL CULT;Technol. Cult.;TECHNOLOGY AND CULTURE;0040-165X
TECHNOL HEALTH CARE;Technol. Health Care;TECHNOLOGY AND HEALTH CARE;0928-7329
TECTONOPHYSICS;Tectonophysics;TECTONOPHYSICS;0040-1951
PSYCHOL REV;Psychol. Rev.;PSYCHOLOGICAL REVIEW;0033-295X
PSYCHOPATHOLOGY;Psychopathology;PSYCHOPATHOLOGY;0254-4962
PSYCHOPHYSIOLOGY;Psychophysiology;PSYCHOPHYSIOLOGY;0048-5772
PSYCHOSOMATICS;Psychosomatics;PSYCHOSOMATICS;0033-3182
PUBL MATH-DEBRECEN;Publ. Math.-Debr.;PUBLICATIONES MATHEMATICAE-DEBRECEN;0033-3883
PUBLIC HEALTH;Public Health;PUBLIC HEALTH;0033-3506
PUBLIC HEALTH ETH-UK;Public Health Ethics;Public Health Ethics;1754-9973
PUBLIC HEALTH REP;Public Health Rep.;PUBLIC HEALTH REPORTS;0033-3549
PULM PHARMACOL THER;Pulm. Pharmacol. Ther.;PULMONARY PHARMACOLOGY & THERAPEUTICS;1094-5539
PURE APPL GEOPHYS;Pure Appl. Geophys.;PURE AND APPLIED GEOPHYSICS;0033-4553
PURINERG SIGNAL;Purinergic Signal.;Purinergic Signalling;1573-9538
Q J ENG GEOL HYDROGE;Q. J. Eng. Geol. Hydrogeol.;QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY;1470-9236
QUANT INFR THERM J;Quant. Infrared Thermogr. J.;Quantitative InfraRed Thermography Journal;1768-6733
TELOPEA;Telopea;TELOPEA;0312-9764
TENSIDE SURFACT DET;Tenside Surfactants Deterg.;TENSIDE SURFACTANTS DETERGENTS;0932-3414
TEX HEART I J;Tex. Heart Inst. J.;TEXAS HEART INSTITUTE JOURNAL;1526-6702
TEXT RES J;Text. Res. J.;TEXTILE RESEARCH JOURNAL;0040-5175
THALASSAS;Thalassas;THALASSAS;0212-5919
THEOR BIOL FORUM;Theor. Biol. Forum;Theoretical Biology Forum;0035-6050
THEOR COMP FLUID DYN;Theor. Comput. Fluid Dyn.;THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS;0935-4964
THEOR MATH PHYS+;Theor. Math. Phys.;THEORETICAL AND MATHEMATICAL PHYSICS;0040-5779
THER DRUG MONIT;Ther. Drug Monit.;THERAPEUTIC DRUG MONITORING;0163-4356
THER INNOV REGUL SCI;Ther. Innov. Regul. Sci.;Therapeutic Innovation & Regulatory Science;2168-4790
THORAC CARDIOV SURG;Thorac. Cardiovasc. Surg.;THORACIC AND CARDIOVASCULAR SURGEON;0171-6425
TIERAERZTL PRAX;Tierarztl. Prax.;TIERARZTLICHE PRAXIS;0303-6286
TISSUE ANTIGENS;Tissue Antigens;TISSUE ANTIGENS;0001-2815
TISSUE ANTIGENS;Tissue Antigens;TISSUE ANTIGENS;0001-2815
TISSUE ENG;Tissue Eng.;TISSUE ENGINEERING;2152-4947
TOP CATAL;Top. Catal.;TOPICS IN CATALYSIS;1022-5528
OPHTHAL EPIDEMIOL;Ophthalmic Epidemiol.;OPHTHALMIC EPIDEMIOLOGY;0928-6586
OPHTHAL PHYSL OPT;Ophthalmic Physiol. Opt.;OPHTHALMIC AND PHYSIOLOGICAL OPTICS;0275-5408
OPHTHALMIC GENET;Ophthalmic Genet.;OPHTHALMIC GENETICS;1381-6810
OPHTHALMIC RES;Ophthalmic Res.;OPHTHALMIC RESEARCH;0030-3747
OPT EXPRESS;Opt. Express;OPTICS EXPRESS;1094-4087
R&D MAG;R D Mag.;R&D MAGAZINE;0746-9179
RADIAT EFF DEFECT S;Radiat. Eff. Defects Solids;Radiation Effects and Defects in Solids;1042-0150
RADIAT ENVIRON BIOPH;Radiat. Environ. Biophys.;RADIATION AND ENVIRONMENTAL BIOPHYSICS;0301-634X
RADIAT RES;Radiat. Res.;RADIATION RESEARCH;0033-7587
RADIO SCI;Radio Sci.;RADIO SCIENCE;0048-6604
RADIOENGINEERING;Radioengineering;Radioengineering;1210-2512
RADIOL ONCOL;Radiol. Oncol.;Radiology and Oncology;1318-2099
RADIOLOGE;Radiologe;RADIOLOGE;0033-832X
RADIOTHER ONCOL;Radiother. Oncol.;RADIOTHERAPY AND ONCOLOGY;0167-8140
RANDOM MATRICES-THEO;Random Matrices-Theor. Appl.;Random Matrices-Theory and Applications;2010-3263
RANGE MANAG AGROFOR;Range Manag. Agrofor.;Range Management and Agroforestry;0971-2070
RANGELAND ECOL MANAG;Rangel. Ecol. Manag.;Rangeland Ecology & Management;1550-7424
RAPID COMMUN MASS SP;Rapid Commun. Mass Spectrom.;RAPID COMMUNICATIONS IN MASS SPECTROMETRY;0951-4198
RECENT PAT NANOTECH;Recent Pat. Nanotechnology;Recent Patents on Nanotechnology;1872-2105
REGEN MED;Regen. Med.;Regenerative Medicine;1746-0751
REHABILITATION;Rehabilitation;REHABILITATION;0034-3536
REMOTE SENS LETT;Remote Sens. Lett.;Remote Sensing Letters;2150-704X
REMOTE SENS LETT;Remote Sens. Lett.;Remote Sensing Letters;2150-704X
REND SEMIN MAT U PAD;Rend. Semin. Mat. Univ. Padova;RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA;0041-8994
REPROD FERT DEVELOP;Reprod. Fertil. Dev.;REPRODUCTION FERTILITY AND DEVELOPMENT;1031-3613
OPT SPECTROSC+;Opt. Spectrosc.;OPTICS AND SPECTROSCOPY;0030-400X
OPT SPECTROSC+;Opt. Spectrosc.;OPTICS AND SPECTROSCOPY;0030-400X
OPTIM CONTR APPL MET;Optim. Control Appl. Methods;OPTIMAL CONTROL APPLICATIONS & METHODS;0143-2087
OPTIM ENG;Optim. Eng.;OPTIMIZATION AND ENGINEERING;1389-4420
OPTIM METHOD SOFTW;Optim. Method Softw.;OPTIMIZATION METHODS & SOFTWARE;1055-6788
OPTOMETRY VISION SCI;Optom. Vis. Sci.;OPTOMETRY AND VISION SCIENCE;1040-5488
ORAL HLTH PREV DENT;Oral Health Prev. Dent.;Oral Health & Preventive Dentistry;1602-1622
ORAL MAXIL SURG CLIN;Oral Maxillofac. Surg. Clin. N. Am.;Oral and Maxillofacial Surgery Clinics of North America;1042-3699
ORE GEOL REV;Ore Geol. Rev.;ORE GEOLOGY REVIEWS;0169-1368
ORG LETT;Org. Lett.;ORGANIC LETTERS;1523-7060
ORGANOGENESIS;Organogenesis;Organogenesis;1547-6278
ORTHOP NURS;Orthop. Nurs.;Orthopaedic Nursing;0744-6020
